,time,Nc_4,Nc_3,Nc_2,Nc_1,R_{rs},R_{cd},R_{fs},V_4,V_3,V_2,V_1,ShSt_{rs},ShSt_{fs},Emass_4,Emass_3,Emass_2,Emass_1,Ekin_4,Ekin_3,Ekin_2,Ekin_1,Eint_4,Eint_3,Eint_2,Eint_1
0,0.0,494.0,0.0,0.0,506.0,14946602682.276999,14946602682.276999,14976282135.619001,0.0,0.0,9.883433163575861e+31,1.4028301527445947e+31,0.0,0.0,0.0,0.0,9.877159300284898e+31,3.5070753818614867e+30,0.0,0.0,9.780478995057198e+33,6.979080009881383e+32,0.0,0.0,1.482737882655452e+28,2.1055070191803241e+27
100,225.1706053244005,489.0,6.0,4.0,501.0,6765183062460.73,6765228504360.388,6765246336712.692,3.065735312331862e+34,8.560781356108186e+33,8.557070845399392e+36,8.328755414277814e+36,0.09220982137715916,0.026288401929549954,5.357608876524436e+33,7.538445379241904e+33,1.1966976583942975e+36,2.908178627893524e+35,7.098419467301649e+35,9.460692061881272e+35,1.1850477908798375e+38,5.787245316706049e+37,2.4827990149309127e+33,9.285646166851192e+32,1.4133727816235602e+33,1.2549872290954203e+33
200,417.8763978587955,485.0,10.0,8.0,497.0,12542157227275.941,12542222718595.75,12542253020300.418,1.3390144574807167e+35,5.595851546991342e+34,2.913917401492122e+37,2.8413452752706425e+37,0.05852874181478285,0.022749379189228147,0.010350772363437954,3.1957638640871773e+34,5.170835750518425e+34,4.0674587900028756e+36,9.904010179927524e+35,4.056503448516832e+36,6.489879264519987e+36,4.028059306931676e+38,1.9707151597540696e+38,1.5867389878902483e+34,6.081743234950791e+33,4.902648995104846e+33
300,610.1748299707231,480.0,15.0,12.0,493.0,18306904688717.574,18307004771300.664,18307047706286.293,4.444972797526009e+35,1.752833049532792e+35,6.154546087642545e+37,5.994481561489589e+37,0.02607346235067709,0.0210317347919744,0.012550529548322809,1.0170418530894752e+35,1.6517181017736444e+35,8.591147608434823e+36,2.0886190206857564e+36,1.2962150535874615e+37,2.0737156844804543e+37,8.508317838937474e+38,4.156269995250652e+38,4.977177683884808e+34,1.906411759400306e+34,1.0532522630324396e+34
400,802.3243509410854,476.0,19.0,16.0,489.0,24067201034274.516,24067322680987.77,24067378400884.395,8.936735776372542e+35,3.999936979498075e+35,1.0546332397643133e+38,1.0271345021622844e+38,0.06485275309513283,0.019198005330266277,0.014709452410595958,2.2543989760142326e+35,3.807090767406915e+35,1.4729357060397665e+37,3.582416892447394e+36,2.838400723686038e+37,4.780398231059684e+37,1.4588027386076796e+39,7.127357069511274e+38,1.1270434305396302e+35,4.348432374739093e+34,1.8354924480216163e+34
500,994.5148821957534,471.0,24.0,20.0,485.0,29828714481846.207,29828869993622.902,29828938619808.887,1.7735382772043124e+36,7.637355305952409e+35,1.6062211627198799e+38,1.5619038338282502e+38,0.04782940787835832,0.01716058733125725,0.016819041042527072,4.362738865344132e+35,7.31176439458856e+35,2.244271199226729e+37,5.446263733169004e+36,5.509004869988362e+37,9.1813392428637e+37,2.222845883724781e+39,1.0837415332479516e+39,2.159914649150157e+35,8.297859247396084e+34,2.8428776522171506e+34
600,1186.643117831487,466.0,29.0,24.0,481.0,35588359195808.03,35588549786556.91,35588631407382.11,3.137752046594583e+36,1.2994531820096502e+36,2.266864253063169e+38,2.200211826164028e+38,0.10595281135064294,0.015036239861294876,0.018779825547720064,7.479713659902736e+35,1.2490456157091656e+36,3.16804714351551e+37,7.670912776853824e+36,9.476346576149377e+37,1.5684005155274356e+38,3.137959889221687e+39,1.5264938772580506e+39,3.676858398404187e+35,1.4116316920968175e+35,4.0778191716678633e+34
700,1378.454858787914,462.0,33.0,28.0,477.0,41338530064436.9,41338741599374.125,41338836311966.625,4.575748537778377e+36,2.039256849807042e+36,3.032334916929544e+38,2.942291076665429e+38,0.10936491622162792,0.012911225997621179,0.020419339250856927,1.1562469183456718e+36,1.9663410566321617e+36,4.238719233351112e+37,1.0263805861697984e+37,1.4549565876547168e+38,2.468993591228433e+38,4.198670980828216e+39,2.0421719209829384e+39,5.754047425766843e+35,2.2157695401599554e+35,5.538474607322449e+34
800,1570.114953362803,457.0,38.0,33.0,472.0,47084141407496.55,47084387306966.45,47084504238494.58,6.969834836309158e+36,3.122188401209903e+36,3.8988219662978684e+38,3.776900978665814e+38,0.036181294017800125,0.010776658753307577,0.021598394872029747,1.7229675073707508e+36,3.008569068260887e+36,5.442874389800439e+37,1.3169882325204597e+37,2.173512162420961e+38,3.774915883539521e+38,5.3895045923407787e+39,2.6207124854205988e+39,8.52302932052167e+35,3.3768908122106375e+35,6.243422709625872e+34
900,1761.76892486355,452.0,43.0,37.0,468.0,52829567839854.53,52829849452726.25,52829978709839.53,1.0153546707766113e+37,4.391571076009847e+36,4.86574225348302e+38,4.703553162019862e+38,0.0513212907889522,0.008739289546068285,0.022365117263780432,2.4482597155296009e+36,4.2457448085994035e+36,6.793664420491326e+37,1.6398640765937592e+37,3.096405810990937e+38,5.328414751995723e+38,6.727287896304484e+39,3.263311480310431e+39,1.2050634093980391e+36,4.760595244792973e+35,7.904692736793969e+34
1000,1953.511574740694,448.0,47.0,41.0,464.0,58577668306129.695,58577970025776.5,58578111710654.125,1.3111116664222921e+37,5.969140928537248e+36,5.929740609906471e+38,5.730265042238996e+38,0.057380774083970465,0.024767993926402054,0.007046381756772746,3.3061990603412584e+36,5.783014207920855e+36,8.280071791453563e+37,1.998409815639986e+37,4.160607074430605e+38,7.258839149165315e+38,8.199487196355604e+39,3.9764579593167976e+39,1.641755909971999e+36,6.478013095011376e+35,9.78307772229985e+34
1100,2145.429322830661,443.0,52.0,45.0,460.0,64331003266033.36,64331339746804.02,64331493934638.72,1.7791090149567003e+37,7.889218013093172e+36,7.088472806334445e+38,6.835543254592989e+38,0.024846730783972815,0.023627695369247803,0.008907177504403396,4.402775208807344e+36,7.654555021675486e+36,9.899911790090666e+37,2.383267953360981e+37,5.552067013012256e+38,9.60907641993336e+38,9.803975547178889e+39,4.742609559602371e+39,2.177099371686689e+36,8.566077390678916e+35,1.1889792156091753e+35
1200,2337.593480030132,439.0,56.0,49.0,456.0,70091738439896.234,70092096396317.47,70092263172495.96,2.217129258743121e+37,1.0186772078415698e+37,8.339644513209693e+38,8.03765676653961e+38,0.06655837231526718,0.022207070277165064,0.010980932999825388,5.647449700801605e+36,9.893441756664785e+36,1.1649009823202376e+38,2.804246404851274e+37,7.097521794444953e+38,1.242065301438052e+39,1.153665886510904e+40,5.57910969937798e+39,2.811199740817134e+36,1.1062207209362813e+36,1.4238215958354884e+35
1300,2529.823018560141,434.0,61.0,53.0,452.0,75854421208227.77,75854813068411.89,75854992538035.88,2.8566397146953637e+37,1.289373925524382e+37,9.679258138466942e+38,9.30981162023755e+38,0.046675822685197765,0.020518564518631877,0.013151998882582783,7.194849530757997e+36,1.253162863998874e+37,1.352186132184599e+38,3.246185583789445e+37,9.054309499657168e+38,1.5733546523297412e+39,1.3392110888996663e+40,6.459510150191717e+39,3.569541254938186e+36,1.400194482382093e+36,1.6829394061671006e+35
1400,2722.06489321835,429.0,66.0,57.0,448.0,81617472614001.25,81617899554614.8,81618091833317.23,3.629621988699648e+37,1.6043118487024982e+37,1.1103954557411312e+39,1.0655791879252097e+39,0.1060120937729585,0.01861651821559951,0.015303394528556558,8.99758327556989e+36,1.5603301961025756e+37,1.5515713090557256e+38,3.7149184118481037e+37,1.1342251267257383e+39,1.9590690216958118e+39,1.5367626304359884e+40,7.392599043401448e+39,4.4494659212194414e+36,1.7421196747779908e+36,1.9661594481632174e+35
1500,2914.30463383808,425.0,70.0,61.0,444.0,87380474294268.36,87380922066987.48,87381127256984.69,4.311156779821858e+37,1.9667387863611814e+37,1.2610593480005568e+39,1.2095290136164972e+39,0.10938102910852132,0.01656104736216535,0.017376502383066095,1.0970525991589852e+37,1.9139585416924656e+37,1.762448680195201e+38,4.2191409521772227e+37,1.3788323451475133e+39,2.4031064388956805e+39,1.7457214713994253e+40,8.39463714816564e+39,5.455170142643277e+36,2.1356577548374154e+36,2.2735448183415227e+35
1600,3106.360042143726,420.0,75.0,65.0,440.0,93137936545833.02,93138418607636.6,93138636803018.28,5.300688484471126e+37,2.3796065415997034e+37,1.419458666885303e+39,1.3584112096151888e+39,0.03700661896773094,0.01445298433374509,0.019261470024201532,1.3336384797824603e+37,2.3169817953284327e+37,1.9841073965864452e+38,4.736294691319687e+37,1.6783642041616455e+39,2.9091332581447966e+39,1.9653838098730125e+40,9.424842944905298e+39,6.612712856736744e+36,2.5841797102232338e+36,2.6035519444421832e+35
1700,3298.133827170962,415.0,80.0,69.0,436.0,98886954860744.14,98887472557445.86,98887703863885.38,6.457102802103939e+37,2.8459871701784744e+37,1.5851803187059716e+39,1.5132579658031364e+39,0.049850580367072794,0.01231861000151735,0.02077274860771139,1.6012281153376013e+37,2.7726681122857035e+37,2.2161916057911822e+38,5.275483814995157e+37,2.018160531733072e+39,3.481247888668212e+39,2.1953966113603003e+40,1.0498145067112245e+40,7.917378903721851e+36,3.0910497869821857e+36,2.9554039669591873e+35
1800,3489.773374242321,411.0,84.0,74.0,431.0,104631964379432.03,104632502281143.94,104632755572580.22,7.431517590653234e+37,3.420805786656492e+37,1.7575105690009092e+39,1.6773926617545872e+39,0.05838191538189208,0.010214193335725819,0.021845573394850604,1.887138600070665e+37,3.32999780651683e+37,2.4535983697444736e+38,5.849802370093874e+37,2.372323122404702e+39,4.179788740843503e+39,2.4296084659690874e+40,1.1639851504267527e+40,9.374733193193125e+36,3.708830445030179e+36,2.8422921188415813e+35
1900,3681.449309132955,406.0,89.0,78.0,427.0,110378050160489.14,110378622848723.1,110378888493037.25,8.85319110125264e+37,4.008392181726128e+37,1.9372903463999418e+39,1.8444035899167784e+39,0.025214279030196796,0.008224835807207453,0.022499344563154056,2.2224200143301456e+37,3.906010525510931e+37,2.7051866158906305e+38,6.430650457463262e+37,2.797385909389807e+39,4.903215150206583e+39,2.678843034960725e+40,1.279671245378819e+40,1.1012053125397189e+37,4.3495305620619364e+36,3.1833746024023567e+35
2000,3873.239297377514,402.0,93.0,82.0,423.0,116127568319729.36,116128162545542.86,116128440634638.03,1.0090087778263614e+38,4.661071865084426e+37,2.1238109357898832e+39,2.0204257014066212e+39,0.06701388656668605,0.024488410429812424,0.007516062391351497,2.5751923360250563e+37,4.544447925177889e+37,2.9658207264631437e+38,7.04882987207146e+37,3.235157257153537e+39,5.70501919430902e+39,2.9370660123063363e+40,1.4023536059350098e+40,1.2810765057244518e+37,5.060100400518269e+36,3.550035585971631e+35
2100,4065.206115305038,397.0,98.0,86.0,419.0,121882375109799.27,121883003293387.66,121883293913366.75,1.1788451566816e+38,5.38235954239447e+37,2.316848530973734e+39,2.1988044447960868e+39,0.04579724172825772,0.02328683813450305,0.009432231254355328,2.9870543174799913e+37,5.250620680050045e+37,3.2364012809739677e+38,7.667732690038898e+37,3.7558512493028667e+39,6.59187184652722e+39,3.205175318059644e+40,1.5257797189679368e+40,1.482597641882105e+37,5.844185859955628e+36,3.944438813392968e+35
2200,4257.418377718059,392.0,103.0,90.0,415.0,127644538743462.2,127645202056337.84,127645505281078.39,1.3719417637345481e+38,6.175763675175227e+37,2.516190806651486e+39,2.3816527304146823e+39,0.10606730077738113,0.021778679504025122,0.011554793674724895,3.439101696432994e+37,6.025879768857134e+37,3.515225856467012e+38,8.302787254855689e+37,4.329175471483395e+39,7.56544888816517e+39,3.4814922732725293e+40,1.6522341731547223e+40,1.70361320211541e+37,6.706122275179501e+36,4.368431712498534e+35
2300,4449.650183412619,388.0,107.0,94.0,411.0,133407302609908.16,133407986691187.22,133408302646986.3,1.5335159688923994e+38,7.044035299376195e+37,2.7213112087551873e+39,2.5739533934981845e+39,0.1095424855660132,0.020037435160854544,0.013722803983980292,3.910013067375546e+37,6.874821942715662e+37,3.802663303503468e+38,8.978674386727697e+37,4.912608166470028e+39,8.631514847108489e+39,3.7663795237270275e+40,1.7864299851834786e+40,1.9437412469247784e+37,7.648759629900652e+36,4.819384605746765e+35
2400,4641.895859651958,383.0,112.0,98.0,407.0,139170468776834.72,139171187142117.84,139171515938679.33,1.7587907539511894e+38,7.99026451950485e+37,2.931902539485098e+39,2.765910111887294e+39,0.0365152382313958,0.018092228782274455,0.015853176338271657,4.450372529417996e+37,7.800410658877922e+37,4.0980610751691835e+38,9.644638754708094e+37,5.596470810818241e+39,9.793775580913752e+39,4.059193380432116e+40,1.919199603561137e+40,2.2079729916080855e+37,8.675912493648928e+36,5.2963658484568604e+35
2500,4834.123619546927,378.0,117.0,102.0,403.0,144933096588633.88,144933850490490.78,144934192222021.72,2.0104454713412723e+38,9.017412631761567e+37,3.1476278175792317e+39,2.960948913363556e+39,0.049271170247670026,0.015998230459103313,0.017895381888012762,5.036422742036813e+37,8.80419704823573e+37,4.400102210349486e+38,1.0322066701387934e+38,6.339969033668877e+39,1.105416151839252e+40,4.358633097620251e+40,2.0540763248834042e+40,2.494358313350037e+37,9.791300177808111e+36,5.798686588013282e+35
2600,5026.081637717989,374.0,121.0,106.0,399.0,150687653348249.25,150688427439321.28,150688782202890.78,2.215083305381476e+38,1.012752807961232e+38,3.36788639942458e+39,3.1658390996999424e+39,0.05957383120350479,0.013896008277389349,0.019712922234275565,5.640640730941327e+37,9.8909071568245e+37,4.709152357095202e+38,1.1041770252680144e+38,7.08794602743161e+39,1.241856268684669e+40,4.665052624216592e+40,2.1970386820805723e+40,2.802389039407488e+37,1.0997423189031058e+37,6.319247901089118e+35
2700,5217.805306139705,369.0,126.0,110.0,395.0,156435170153180.0,156435978977185.62,156436346872868.78,2.5040569657216977e+38,1.1324040559176537e+38,3.5923955804840126e+39,3.367196242804805e+39,0.026294656124797644,0.011755231479991135,0.02110254220026553,6.325050225165123e+37,1.1062859588730784e+38,5.0243672289076356e+38,1.1740706214027542e+38,7.955189683546124e+39,1.3889927784846487e+40,4.977614661841769e+40,2.3363400906820283e+40,3.1366687447597947e+37,1.2297772187518628e+37,6.861576862574525e+35
2800,5409.459297289154,365.0,130.0,115.0,390.0,162180611256019.16,162181441711317.5,162181831368041.4,2.7486971022368197e+38,1.273318474457136e+38,3.8198129987408683e+39,3.577806270315433e+39,0.06573094090924259,0.009674025067559766,0.022053632848987315,7.02286251428197e+37,1.2432220704826184e+38,5.333840862764456e+38,1.2484782654948978e+38,8.821065536226347e+39,1.560654717201807e+40,5.281870290109523e+40,2.483737736573155e+40,3.4923317068311413e+37,1.381432325109302e+37,6.2506390015402484e+35
2900,5601.155259992907,360.0,135.0,119.0,386.0,167927298262864.44,167928162676128.88,167928564720893.44,3.074765184154213e+38,1.411886336983052e+38,4.0523733690246646e+39,3.7849581302529784e+39,0.046181869403498554,0.02522205333618066,0.006252920878267121,7.814211405541653e+37,1.379221435959985e+38,5.6597846686052585e+38,1.319938160436043e+38,9.821357687949337e+39,1.7314660682935344e+40,5.6048901893676645e+40,2.6264856654252674e+40,3.8797355495940433e+37,1.5324611503742388e+37,6.750723987521413e+35
3000,5792.966550734764,355.0,140.0,123.0,382.0,173677441354151.34,173678340985166.28,173678755492328.6,3.43584648919172e+38,1.560414753232093e+38,4.2886737463234604e+39,3.993126069330567e+39,0.10611072526890486,0.02419841632696018,0.007998221443271225,8.660201843505793e+37,1.5247582239678682e+38,5.990721896211883e+38,1.3921325376274945e+38,1.0894176907606474e+40,1.9142466846214947e+40,5.932909546505608e+40,2.7703068906311523e+40,4.293206205467416e+37,1.6941253720809717e+37,7.282705356644119e+35
3100,5985.027276530951,351.0,144.0,127.0,378.0,179435076547791.4,179435996935759.75,179436423985810.9,3.730492193660634e+38,1.7193486899480165e+38,4.528590028021245e+39,4.2123677913868223e+39,0.10961700689199483,0.022911824349343135,0.00998191880479804,9.521624924754736e+37,1.6804857459626692e+38,6.3274930735269306e+38,1.4695622431822608e+38,1.1961147048032113e+40,2.1098196411513665e+40,6.266772140598683e+40,2.9238573932230718e+40,4.732333984258718e+37,1.8668671008688247e+37,7.849876712129843e+35
3200,6177.2607179854,346.0,149.0,131.0,374.0,185197875902897.0,185198830605883.94,185199270304133.12,4.133530904007483e+38,1.8889735675178315e+38,4.7717367881129297e+39,4.4248432978344664e+39,0.03567402148420129,0.021346194694510823,0.012122287610244697,1.0488278776098184e+38,1.8465164775828354e+38,6.6687738049926216e+38,1.5429599923815606e+38,1.3184390035959735e+40,2.318323874518383e+40,6.605169244927097e+40,3.070348651541097e+40,5.205256109524504e+37,2.051043963271952e+37,8.452319500626234e+35
3300,6369.492782510855,341.0,154.0,135.0,370.0,190960632724883.12,190961623001948.5,190962075457985.34,4.57370824052049e+38,2.069415830361943e+38,5.017597086938875e+39,4.637187354027805e+39,0.050368380166840865,0.019550703781039624,0.014287540705428592,1.1515989424033284e+38,2.0230864277435096e+38,7.013806290384691e+38,1.6166756327396529e+38,1.4487812103903986e+40,2.5400497437084826e+40,6.947344987819636e+40,3.217160008304057e+40,5.70732209387794e+37,2.246953645002453e+37,9.084718082177427e+35
3400,6561.731546514085,337.0,158.0,139.0,366.0,196723605868384.94,196724616235197.4,196725081549975.12,4.9244018797686254e+38,2.2610163801331853e+38,5.265879556470905e+39,4.861800454673426e+39,0.05932108087065813,0.017547502263896675,0.016411814315644646,1.2556652397002421e+38,2.2107496851434037e+38,7.362954318333382e+38,1.6959125955327875e+38,1.577548555023147e+40,2.775693558743141e+40,7.293663797775566e+40,3.3744046140774287e+40,6.237974040582203e+37,2.454974007655478e+37,9.74365309093968e+35
